TAG,Date,Station ,Squid,Statolith,Sex,Mantle Length (cm),Length Overall (cm),Gladius length (cm)  ,Gut Contents,Notes (Nidamental Glands),Female Rating
20200914-2-39,9/14/2020,Fort Johnson,39,1,F,4.1,12.1,4.1,,tiny nids,1
20200914-2-40,9/14/2020,Fort Johnson,40,1,F,4.4,13.6,4.4,Fish,small nids,2
20200914-2-41,9/14/2020,Fort Johnson,41,1,F,3.3,10.1,3.4,,tiny nids,1
20200914-2-42,9/14/2020,Fort Johnson,42,2,F,6.7,18.9,6.5,,large nids,4
20200914-2-43,9/14/2020,Fort Johnson,43,2,F,4.9,15.7,5.1,HD,small nids,2
20200914-2-44,9/14/2020,Fort Johnson,44,2,F,3.9,13.1,4.1,,tiny nids,1
20200914-2-45,9/14/2020,Fort Johnson,45,2,M,4.1,11.6,4,,"sed, spermatophores",
20200914-2-46,9/14/2020,Fort Johnson,46,2,F,3.9,12.5,4,,tiny nids,1
20200914-2-48,9/14/2020,Fort Johnson,48,2,F,4,11.9,4,,tiny nids,1
20200914-2-49,9/14/2020,Fort Johnson,49,2,M,3.4,10.4,3.4,,spermatophores,
20200914-2-50,9/14/2020,Fort Johnson,50,2,F,4.3,12.8,4.3,,tiny nids,1
20200914-2-51,9/14/2020,Fort Johnson,51,2,I,2.9,8.6,2.8,,,
20200914-2-52,9/14/2020,Fort Johnson,52,2,M,3.2,10.5,3.1,,,
20200914-2-53,9/14/2020,Fort Johnson,53,2,M,4.5,12.5,4.6,,spermatophores,
20200914-2-54,9/14/2020,Fort Johnson,54,2,F,4.8,15.2,4.5,,tiny nids,1
20200914-2-56,9/14/2020,Fort Johnson,56,2,F,3.5,11.5,3.7,,tiny nids,1
20200914-2-57,9/14/2020,Fort Johnson,57,2,F,3.7,11,3.8,,tiny nids,1
20200914-2-58,9/14/2020,Fort Johnson,58,2,M,2.9,9.5,2.9,,,
20200914-2-59,9/14/2020,Fort Johnson,59,2,I,2.6,8.6,2.7,,,
20200914-2-60,9/14/2020,Fort Johnson,60,2,F,4.5,13.7,4.5,,tiny nids,1
20200914-2-61,9/14/2020,Fort Johnson,61,2,M,3.1,9.3,3.1,,,
20200914-2-62,9/14/2020,Fort Johnson,62,2,F,4.4,14,4.5,fish ,tiny nids,1
20200914-2-63,9/14/2020,Fort Johnson,63,2,M,4.1,13.5,4.1,,broken gladius,
20200914-2-64,9/14/2020,Fort Johnson,64,2,F,3,10.1,3.1,,tiny nids,1
20200914-2-65,9/14/2020,Fort Johnson,65,2,M,4.1,13.5,4.1,,,1
20200914-2-66,9/14/2020,Fort Johnson,66,2,M,3.5,12.2,3.8,HD,,
20200914-2-67,9/14/2020,Fort Johnson,67,2,M,3.3,11.9,3.3,,,
20200914-2-68,9/14/2020,Fort Johnson,68,2,I,2.5,8,2.7,,,
20200914-2-69,9/14/2020,Fort Johnson,69,2,F,5.3,17.9,5.4,,tiny nids (spent?),5
20200914-2-70,9/14/2020,Fort Johnson,70,2,F,4.7,14,4.7,,tiny nids,1
20200914-2-71,9/14/2020,Fort Johnson,71,2,I,2.5,7.4,2.5,,,
20200914-2-72,9/14/2020,Fort Johnson,72,2,I,2.4,8.2,2.4,,,
20200914-2-73,9/14/2020,Fort Johnson,73,2,F,4.2,14.7,4.2,,tiny nids,1
20200914-2-74,9/14/2020,Fort Johnson,74,2,M,3.4,11,3.5,shrimp,sed,
20200914-2-75,9/14/2020,Fort Johnson,75,2,I,2.8,10.5,3,,sed,
20200914-2-76,9/14/2020,Fort Johnson,76,2,I,2.3,7.9,NA,NA,mantle eaten,
20200914-2-77,9/14/2020,Fort Johnson,77,2,M,3,9.7,3,,,
20200914-2-78,9/14/2020,Fort Johnson,78,2,M,3,8.6,3,,,
20200914-2-79,9/14/2020,Fort Johnson,79,2,M,3.9,13.1,3.9,,,
20200914-2-80,9/14/2020,Fort Johnson,80,2,F,3.8,12.8,3.7,,,
20200914-2-81,9/14/2020,Fort Johnson,81,2,M,3.1,10.2,3.1,,sed,
20200914-2-82,9/14/2020,Fort Johnson,82,2,I,2.3,6.8,2.3,,,
20200914-2-83,9/14/2020,Fort Johnson,83,2,M,3.5,12.6,3.5,HD,spent spermatophores,
20200914-2-84,9/14/2020,Fort Johnson,84,2,M,3.8,11.6,3.7,,spermatophores,
20200914-2-85,9/14/2020,Fort Johnson,85,2,F,4,13.9,4.1,,tiny nids,1
20200914-2-86,9/14/2020,Fort Johnson,86,2,I,2.7,8.8,2.9,,,
20200914-2-87,9/14/2020,Fort Johnson,87,2,M,3.5,10.9,3.4,,,
20200914-2-88,9/14/2020,Fort Johnson,88,2,M,2.9,8.5,2.8,,,
20200914-2-90,9/14/2020,Fort Johnson,90,2,F,3,9.9,3.2,Fish,tiny nids,1
20200914-2-91,9/14/2020,Fort Johnson,91,2,F,3.2,10.6,3.2,HD,tiny nids,1
20200914-2-92,9/14/2020,Fort Johnson,92,2,M,2.9,10,2.9,HD,,
20200814-2-1,8/14/2020,Fort Johnson,1,1,F,6,8.3,5.9,HD,"Large Nids, mature",4
20200814-2-3,8/14/2020,Fort Johnson,3,1,F,3.9,12.3,4.1,Fish,Small Nid,2
20200814-2-8,8/14/2020,Fort Johnson,8,1,F,4.2,11.9,4.4,,small nids,2
20200814-2-19,8/14/2020,Fort Johnson,19,1,F,5.2,13.6,5.3,,"med Nids, mature",2
20201013-2-1,10/13/2020,Fort Johnson,1,1,F,6.2,18.6,6.2,HD,med. Nid,3
20201013-2-2,10/13/2020,Fort Johnson,2,1,F,5.6,17,5.6,,small nids,2

